booth,station_id,station_id_2,station_id_3,complex_id,stop_name,complex_name
R515,1,,,1,Astoria-Ditmars Blvd,
R514,2,,,2,Astoria Blvd,
R513,3,,,3,30 Av,
R512,4,,,4,Broadway,
R511,5,,,5,36 Av,
R510,6,,,6,39 Av-Dutch Kills,
A002,7,,,613,Lexington Av/59 St,Lexington Av / 59 St
A003A,7,,,613,Lexington Av/59 St,Lexington Av / 59 St
A004,7,,,613,Lexington Av/59 St,Lexington Av / 59 St
A006,8,,,8,5 Av/59 St,
A007,8,,,8,5 Av/59 St,
A010,9,,,9,57 St-7 Av,
A011,9,,,9,57 St-7 Av,
A013,10,,,10,49 St,
A014,10,,,10,49 St,
A015,10,,,10,49 St,
A016,10,,,10,49 St,
A017,11,468,317,611,Times Sq-42 St,Times Sq - 42 St / Port Authority Bus Terminal
A021,11,,,611,Times Sq-42 St,Times Sq - 42 St / Port Authority Bus Terminal
A022,12,227,,607,34 St-Herald Sq,34 St - Herald Sq
A022A,12,227,,607,34 St-Herald Sq,34 St - Herald Sq
A025,12,,,607,34 St-Herald Sq,34 St - Herald Sq
A027,13,,,13,28 St,
A029,13,,,13,28 St,
A030,14,,,14,23 St,
A031,14,,,14,23 St,
A033,15,,,602,14 St-Union Sq,14 St - Union Sq
A034,15,,,602,14 St-Union Sq,14 St - Union Sq
A038,16,,,16,8 St-NYU,
A039,16,,,16,8 St-NYU,
A040,16,,,16,8 St-NYU,
A041,17,,,17,Prince St,
A042,17,,,17,Prince St,
A043,18,19,,623,Canal St,Canal St
A044,18,,,623,Canal St,Canal St
A046,19,410,,623,Canal St,Canal St
A047,20,,,20,City Hall,
A049,21,,,624,Cortlandt St,Chambers St / WTC / Park Place / Cortlandt St
A050,21,,,624,Cortlandt St,Chambers St / WTC / Park Place / Cortlandt St
A051,21,,,624,Cortlandt St,Chambers St / WTC / Park Place / Cortlandt St
A052,21,,,624,Cortlandt St,Chambers St / WTC / Park Place / Cortlandt St
A053,21,,,624,Cortlandt St,Chambers St / WTC / Park Place / Cortlandt St
A054,22,,,22,Rector St,
A055,22,,,22,Rector St,
A058,23,,,635,Whitehall St-South Ferry,South Ferry / Whitehall
A060,23,,,635,Whitehall St-South Ferry,South Ferry / Whitehall
C001,24,,,620,Court St,Borough Hall / Court St
C003,25,,,636,Jay St-MetroTech,Jay St - MetroTech
C004,25,,,636,Jay St-MetroTech,Jay St - MetroTech
C006,26,,,26,DeKalb Av,
C008,26,,,26,DeKalb Av,
C009,27,,,617,Atlantic Av-Barclays Ctr,Atlantic Av-Barclays Ctr
C010,28,,,28,Union St,
C011,28,,,28,Union St,
C012,29,,,608,4 Av-9 St,4 Av - 9 St
C014,30,,,30,Prospect Av,
C015,30,,,30,Prospect Av,
C016,31,,,31,25 St,
C017,31,,,31,25 St,
C018,32,,,32,36 St,
C019,33,,,33,45 St,
C020,34,,,34,53 St,
C021,35,,,35,59 St,
C022,35,,,35,59 St,
C023,36,,,36,Bay Ridge Av,
C024,37,,,37,77 St,
C025,38,,,38,86 St,
C026,38,,,38,86 St,
C027,39,,,39,Bay Ridge-95 St,
C028,39,,,39,Bay Ridge-95 St,
B001,40,,,617,Atlantic Av-Barclays Ctr,Atlantic Av-Barclays Ctr
B002,40,,,617,Atlantic Av-Barclays Ctr,Atlantic Av-Barclays Ctr
B004,41,,,41,7 Av,
B012,42,,,42,Prospect Park,
B013,42,,,42,Prospect Park,
B014,43,,,43,Parkside Av,
B015,44,,,44,Church Av,
