booth,station,station_name,line_name,division,borough,right_of_way,location,position,access,into,status,tracked_as,details,has_booth,lat,lon
A002,59 ST,Lexington Av/59 St,NQR456W,BMT,M,E 60th St,3rd Ave,,Mez,,Open,,,0,40.762143,-73.966035
A003A,59 ST,Lexington Av/59 St,NQR456W,BMT,M,E 60th St,Lexington Ave,NE cnr,Mez,,Closed,,,0,40.762787,-73.967452
A004,59 ST,Lexington Av/59 St,NQR456W,BMT,M,E 60th St,Lexington Ave,NW cnr,Mez,,Open,R244,Adjacent C/A,0,40.762930,-73.967843
A006,5 AV/59 ST,5 Av/59 St,NQRW,BMT,M,E 60th St,5th Ave,,Mez,,Open,,,1,40.764874,-73.972423
A007,5 AV/59 ST,5 Av/59 St,NQRW,BMT,M,W 59th St,5th-6th Aves,,Mez,,Open,,,0,40.765008,-73.974682
A010,57 ST-7 AV,57 St-7 Av,NQRW,BMT,M,7th Ave,W 57th St,,Mez,,Open,,,1,40.765483,-73.980052
A011,57 ST-7 AV,57 St-7 Av,NQRW,BMT,M,7th Ave,W 55th St,,Mez,,Open,,,0,40.764215,-73.980980
A013,49 ST,49 St,NQRW,BMT,M,7th Ave,W 49th St,,N/B,,Open,,,0,40.760438,-73.983603
A014,49 ST,49 St,NQRW,BMT,M,7th Ave,W 47th St,,N/B,,Closed,,Temporary closure,0,40.759168,-73.984499
A015,49 ST,49 St,NQRW,BMT,M,7th Ave,W 49th St,,S/B,,Open,,,1,40.760515,-73.983833
A016,49 ST,49 St,NQRW,BMT,M,7th Ave,W 47th St,,S/B,,Open,,,0,40.759289,-73.984771
A017,TIMES SQ-42 ST,Times Sq-42 St,ACENQRS1237W,BMT,M,Broadway,W 42nd St,SW cnr,Mez,,Closed,,,0,40.755739,-73.986583
A021,TIMES SQ-42 ST,Times Sq-42 St,ACENQRS1237W,BMT,M,Broadway,W 40th St,,Mez,,Open,,,0,40.754362,-73.986878
A022,34 ST-HERALD SQ,34 St-Herald Sq,BDFMNQRW,BMT,M,Broadway,W 34th St,E/S,Mez,,Open,,,0,40.749758,-73.987671
A022A,34 ST-HERALD SQ,34 St-Herald Sq,BDFMNQRW,BMT,M,Broadway,W 34th-35th Sts,E/S,Mez,,Open,A022,Adjacent HEET,0,40.749937,-73.987555
A025,34 ST-HERALD SQ,34 St-Herald Sq,BDFMNQRW,BMT,M,Broadway,W 32nd St,,Mez,,Open,,,0,40.748484,-73.988165
A026,28 ST,28 St,NRW,BMT,M,Broadway,W 29th St,,N/B,,Closed,,,0,40.746006,-73.988513
A027,28 ST,28 St,NRW,BMT,M,Broadway,W 28th St,,N/B,,Open,,,1,40.745226,-73.988575
A028,28 ST,28 St,NRW,BMT,M,Broadway,W 29th St,,S/B,,Closed,,,0,40.746092,-73.988711
A029,28 ST,28 St,NRW,BMT,M,Broadway,W 28th St,,S/B,,Open,,,0,40.745372,-73.988930
A030,23 ST,23 St,NRW,BMT,M,Broadway,E 23rd St,,N/B,,Open,,,1,40.741321,-73.989218
A031,23 ST,23 St,NRW,BMT,M,Broadway,E 23rd St,,S/B,,Open,,,0,40.741622,-73.989395
A033,14 ST-UNION SQ,14 St-Union Sq,LNQR456W,BMT,M,Broadway,E 16th St,,Mez,,Open,,,0,40.736348,-73.990458
A034,14 ST-UNION SQ,14 St-Union Sq,LNQR456W,BMT,M,Broadway,E 14th-15th Sts,W/S,Mez,,Open,,,1,40.735263,-73.990857
A035,14 ST-UNION SQ,14 St-Union Sq,LNQR456W,BMT,M,Union Sq E,E 15th St,,Mez,,Open,,,0,40.735106,-73.989819
A036,14 ST-UNION SQ,14 St-Union Sq,LNQR456W,BMT,M,Broadway,E 15th St,E/S,Mez,,Open,A034,,0,40.735208,-73.990425
A037,14 ST-UNION SQ,14 St-Union Sq,LNQR456W,BMT,M,Broadway,E 14th St,S/S,Mez,,Open,,,0,40.734895,-73.991081
A038,8 ST-NYU,8 St-NYU,NRW,BMT,M,Broadway,E 8th St,,N/B,,Open,,,1,40.730528,-73.992250
A039,8 ST-NYU,8 St-NYU,NRW,BMT,M,Broadway,E 8th St,,S/B,,Open,,,0,40.730658,-73.992561
A040,8 ST-NYU,8 St-NYU,NRW,BMT,M,Broadway,Waverly Pl,,S/B,,Open,A039,,0,40.729808,-73.993173
A041,PRINCE ST,Prince St,NRW,BMT,M,Broadway,Prince St,,N/B,,Open,,,1,40.724147,-73.997583
A042,PRINCE ST,Prince St,NRW,BMT,M,Broadway,Prince St,,S/B,,Open,,,0,40.724334,-73.997983
