Station,Lines,Borough,Booth,Current,Proposed,Description,Additional C/As,Notes
25 Street,MR,Brooklyn,C016,F/T,F/T,N/B 25th St,,
25 Street,MR,Brooklyn,C017,F/T,X,S/B 25th St,,
Bergen Street,23,Brooklyn,R617,F/T,F/T,N/B Bergen St,,
Bergen Street,23,Brooklyn,R618,K,X,S/B Bergen St,,
Bergen Street,FG,Brooklyn,N531,K,X,S/B Bergen St,S/B Warren St,
Bergen Street,FG,Brooklyn,N532,F/T,F/T,N/B Bergen St,,
Bergen Street,FG,Brooklyn,N533,X,X,N/B Warren St,,
Brighton Beach,BQ,Brooklyn,B029,F/T,F/T,Mez Brighton 7th St,,
Brighton Beach,BQ,Brooklyn,B031,K,X,Mez Brighton 5th St,,
Carroll Street,FG,Brooklyn,N534,K,X,N/B President St,,
Carroll Street,FG,Brooklyn,N535,F/T,F/T,Mez 2nd St,,
Carroll Street,FG,Brooklyn,N535A,X,X,S/B President St,,
Church Avenue,BQ,Brooklyn,B015,K,X,Mez Caton Avenue,,
Church Avenue,BQ,Brooklyn,B016,F/T,F/T,Mez Church Avenue,,
Clinton - Washington Avenues,C,Brooklyn,N111,F/T,F/T,N/B Clinton Av,N/B Washington Av,
Clinton - Washington Avenues,C,Brooklyn,N112,X,X,S/B Clinton Av,,
Clinton - Washington Avenues,C,Brooklyn,N112A,K,X,S/B Washington Av,,
Coney Island - Stillwell Avenue,DFNQ,Brooklyn,G001,K,X,Mez Surf Av,,
Coney Island - Stillwell Avenue,DFNQ,Brooklyn,G009,F/T,F/T,Mez Mermaid Av,,
Court Street - Borough Hall,2345MR,Brooklyn,C001,K,X,Mez Clinton St,,
Court Street - Borough Hall,2345MR,Brooklyn,R601A,F/T,F/T,Mez Joralemon St,,
Court Street - Borough Hall,2345MR,Brooklyn,R602,F/T,F/T,Mez Adams St,,
Court Street - Borough Hall,2345MR,Brooklyn,R604,K,X,Mez Court St,,
Flatbush Avenue - Brooklyn College,25,Brooklyn,R645,F/T,F/T,N/B Flatbush Av,,
Flatbush Avenue - Brooklyn College,25,Brooklyn,R646,X,X,Mez Avenue H,,
Flatbush Avenue - Brooklyn College,25,Brooklyn,R647,K,X,S/B Flatbush Av,,
Flushing Avenue,G,Brooklyn,N414,F/T,F/T,S/B Flushing Av,,
Flushing Avenue,G,Brooklyn,N414A,K,X,N/B Flushing Av,,
Franklin Avenue,CS,Brooklyn,N113,K,X,N/B Franklin Av,,
Franklin Avenue,CS,Brooklyn,N114,F/T,F/T,S/B Franklin Av,,
Graham Avenue,L,Brooklyn,H013,F/T,F/T,N/B Graham Av,,
Graham Avenue,L,Brooklyn,H014,K,X,S/B Graham Av,,
Grand Street,L,Brooklyn,H015,F/T,F/T,N/B Grand St,,
Grand Street,L,Brooklyn,H016,K,X,S/B Grand St,,
Halsey Street,L,Brooklyn,H028,F/T,F/T,N/B George St,,
Halsey Street,L,Brooklyn,H030,K,X,S/B Halsey St,,
High Street - Brooklyn Bridge,AC,Brooklyn,N100,F/T,F/T,Mez Cadman Plaza West,,
High Street - Brooklyn Bridge,AC,Brooklyn,N101,K,X,Mez Cadman Plaza East,,
Hoyt Street,23,Brooklyn,R605,K,X,N/B Bridge St,N/B Duffield St,
Hoyt Street,23,Brooklyn,R606,F/T,F/T,S/B Hoyt St,S/B Elm Place,
Jay Street - Borough Hall,ACF,Brooklyn,N102,K,X,Mez Myrtle Promenade,,
Jay Street - Borough Hall,ACF,Brooklyn,N103,F/T,F/T,Mez Willoughby St,,
Kings Highway,BQ,Brooklyn,B023,X,X,Mez Kings Highway N,,
Kings Highway,BQ,Brooklyn,B024,F/T,F/T,Mez Kings Highway S,,
Kings Highway,BQ,Brooklyn,B024A,K,X,Mez E 16th St,,
Kingston - Throop Avenues,C,Brooklyn,N118,K,X,S/B Kingston Av,,
Kingston - Throop Avenues,C,Brooklyn,N119,F/T,F/T,N/B Throop Av,,
Lawrence Street - Metrotech,MR,Brooklyn,C003,F/T,F/T,Mez Lawrence St,,
Lawrence Street - Metrotech,MR,Brooklyn,C004,X,X,Mez Bridge St,,
Lorimer Street,L,Brooklyn,N409,F/T,F/T,Mez Metropolitan Avenue,,
Lorimer Street,L,Brooklyn,H012,K,X,Mez Lorimer St,,
Marcy Avenue,JMZ,Brooklyn,J001,F/T,F/T,M/B Marcy Avenue,M/B Havemeyer St,
Marcy Avenue,JMZ,Brooklyn,J002,K,X,Q/B Marcy Avenue,Q/B Havemeyer St,
Myrtle-Wyckoff Avenues,LM,Brooklyn,H026,F/T,F/T,Mez Myrtle Av,,
Myrtle-Wyckoff Avenues,LM,Brooklyn,H027,K,X,Mez Palmetto St,,
Nevins Street,2345,Brooklyn,R608,F/T,F/T,S/B Nevins St,,
Nevins Street,2345,Brooklyn,R609,K,X,N/B Nevins St,,
Newkirk Avenue,25,Brooklyn,R643,F/T,F/T,N/B Newkirk Avenue,,
Newkirk Avenue,25,Brooklyn,R644,K,X,S/B Newkirk Avenue,,
Nostrand Avenue,AC,Brooklyn,N116,F/T,F/T,N/B Nostrand Av,,
Nostrand Avenue,AC,Brooklyn,N117,K,X,S/B Nostrand Av,,
Prospect Avenue,MR,Brooklyn,C014,F/T,F/T,N/B Prospect Av,,
Prospect Avenue,MR,Brooklyn,C015,F/T,X,S/B Prospect Av,,
Prospect Park,BQS,Brooklyn,B012,K,X,Mez Flatbush Av.,,
Prospect Park,BQS,Brooklyn,B013,F/T,F/T,Mez Lincoln Rd.,,
Sheepshead Bay,BQ,Brooklyn,B027,F/T,F/T,Mez Sheepshead Bay Road,,
Sheepshead Bay,BQ,Brooklyn,B028,K,X,Mez Voorhies Avenue,,
Union Street,MR,Brooklyn,C010,F/T,F/T,N/B Union St,,
Union Street,MR,Brooklyn,C011,F/T,X,S/B Union St,,
Utica Avenue,AC,Brooklyn,N120,F/T,F/T,Mez Utica Av,,
Utica Avenue,AC,Brooklyn,N120A,K,X,Mez Stuyvesant Av,,
Utica Avenue,34,Brooklyn,R625,K,X,Mez Schenectady Av,,
Utica Avenue,34,Brooklyn,R626,F/T,F/T,Mez Utica Av,,
3 Avenue - 149 Street,25,The Bronx,R310,F/T,F/T,S/B Third Av,,
3 Avenue - 149 Street,25,The Bronx,R311,F/T,X,N/B Third Av,,
161 Street - Yankee Stadium,BD4,The Bronx,N203,F/T,F/T,Mez River Av,,
161 Street - Yankee Stadium,BD4,The Bronx,N205,K,X,Mez Gerard Av,,
161 Street - Yankee Stadium,BD4,The Bronx,R262,K,X,Mez E 161 St,,
170 Street,BD,The Bronx,N208,K,X,S/B 170th St,,
170 Street,BD,The Bronx,N208A,X,X,N/B 170th St,,
170 Street,BD,The Bronx,N209,F/T,F/T,Mez 171st St,,
174 Street,25,The Bronx,R321,K,X,N/B 174th St,,
174 Street,25,The Bronx,R322,F/T,F/T,S/B 174th St,,
174 - 175 Streets,BD,The Bronx,N210,F/T,F/T,Mez 174th St,,
174 - 175 Streets,BD,The Bronx,N212,K,X,Mez 175th St,,
205 Street,D,The Bronx,N224,F/T,F/T,Mez E 206th St/Bainbridge Av,,
205 Street,D,The Bronx,N225,K,X,Mez Perry Av,,
Brook Avenue,6,The Bronx,R402,F/T,F/T,S/B Brook Av,,
Brook Avenue,6,The Bronx,R403,K,X,N/B Brook Av,,
Cypress Avenue,6,The Bronx,R404,F/T,F/T,S/B Cypress Av,,
Cypress Avenue,6,The Bronx,R405,K,X,N/B Cypress Av,,
East 143 Street - St Mary's Street,6,The Bronx,R406,F/T,F/T,S/B St Mary's St,,
East 143 Street - St Mary's Street,6,The Bronx,R407,K,X,N/B St Mary's St,,
East 149 Street,6,The Bronx,R408,F/T,F/T,S/B E 149 St,,
East 149 Street,6,The Bronx,R409,K,X,N/B E 149 St,,
Freeman Street,25,The Bronx,R319,K,X,N/B Freeman St,,
Freeman Street,25,The Bronx,R320,F/T,F/T,S/B Freeman St,,
Kingsbridge Road,BD,The Bronx,N220,K,X,Mez Kingsbridge Rd,,
Kingsbridge Road,BD,The Bronx,N221,F/T,F/T,Mez E 196th St,,
Longwood Avenue,6,The Bronx,R410,F/T,F/T,S/B Longwood Av,,
Longwood Avenue,6,The Bronx,R411,K,X,N/B Longwood Av,,
Prospect Avenue,25,The Bronx,R314,F/T,F/T,N/B Prospect Av,,
Prospect Avenue,25,The Bronx,R315,K,X,S/B E 160th St,,
Simpson Street,25,The Bronx,R317,K,X,N/B Simpson St,,
Simpson Street,25,The Bronx,R318,F/T,F/T,S/B Simpson St,,
1 Avenue,L,Manhattan,H007,F/T,F/T,N/B First Av,,
1 Avenue,L,Manhattan,H008,F/T,X,S/B First Av,,
2 Avenue,FV,Manhattan,N521,K,X,Mez 2nd Av,,
2 Avenue,FV,Manhattan,N523,F/T,F/T,Mez 1st Av,,
3 Avenue,L,Manhattan,H005,K,X,N/B 3rd Av,,
3 Avenue,L,Manhattan,H006,F/T,F/T,S/B 3rd Av,,
7 Avenue,BDE,Manhattan,N300,K,X,Mez Broadway,,
7 Avenue,BDE,Manhattan,N301,F/T,F/T,Mez 7th Av,,
8 Street,NRW,Manhattan,A038,F/T,F/T,N/B 8 Street,N/B Waverly Pl,
8 Street,NRW,Manhattan,A039,F/T,X,S/B 8 Street,S/B Waverly Pl,
14 Street,123,Manhattan,R127,F/T,F/T,Mez 14 St,Exit-Only Mez 13 St,
14 Street,123,Manhattan,R128,K,X,Mez 12 St,,
14 Street / 6th Avenue,FVL,Manhattan,H003,K,X,Mez 6th Av,,
14 Street / 6th Avenue,FVL,Manhattan,N510,K,X,N/B 16th St,,
14 Street / 6th Avenue,FVL,Manhattan,N511,K,X,S/B 16th St,,
14 Street / 6th Avenue,FVL,Manhattan,N512,F/T,F/T,S/B 14th St,,
14 Street / 6th Avenue,FVL,Manhattan,N513,K,X,N/B 14th St,,
14 Street - Union Square,NQRW456L,Manhattan,A033,K,X,Mez 16th St,,
14 Street - Union Square,NQRW456L,Manhattan,A034,F/T,F/T,Mez 14th St NW,,
14 Street - Union Square,NQRW456L,Manhattan,A035,K,X,Mez 15th St,,
14 Street - Union Square,NQRW456L,Manhattan,A036,X,X,Mez 14th St NE,,
14 Street - Union Square,NQRW456L,Manhattan,A037,K,X,Mez 14th St SW,,
14 Street - Union Square,NQRW456L,Manhattan,R221,F/T,F/T,Mez 14th St SE,,
18 Street,1,Manhattan,R129,F/T,F/T,N/B 18th St,,
18 Street,1,Manhattan,R130,K,X,S/B 18th St,,
23 Street,1,Manhattan,R131,F/T,F/T,N/B 23 St,,
23 Street,1,Manhattan,R132,K,X,S/B 23 St,,
23 Street,6,Manhattan,R226,F/T,X,S/B E 23 St,S/B E 22 St,
23 Street,6,Manhattan,R227,F/T,F/T,N/B E 23 St,,
23 Street,6,Manhattan,R227A,K,X,N/B E 22 St,,
23 Street,CE,Manhattan,N076,F/T,F/T,N/B 23rd St,,
23 Street,CE,Manhattan,N077,K,X,S/B 23rd St,,
23 Street,FV,Manhattan,N508,F/T,X,S/B 23 St,,
23 Street,FV,Manhattan,N509,F/T,F/T,N/B 23 St,,
23 Street,NRW,Manhattan,A030,F/T,F/T,N/B 23rd St,N/B 22nd St,
23 Street,NRW,Manhattan,A031,K,X,S/B 23rd St,S/B 22nd St,
28 Street,1,Manhattan,R133,F/T,F/T,N/B 28 St,,
28 Street,1,Manhattan,R134,K,X,S/B 28 St,,
28 Street,6,Manhattan,R228,F/T,X,S/B 28th St,,
28 Street,6,Manhattan,R229,F/T,F/T,N/B 28th St,,
28 Street,NRW,Manhattan,A027,F/T,F/T,N/B 28th St,,
28 Street,NRW,Manhattan,A029,K,X,S/B 28th St,,
33 Street,6,Manhattan,R231,F/T,F/T,N/B 33rd St,,
33 Street,6,Manhattan,R231A,K,X,N/B 32nd St,,
33 Street,6,Manhattan,R232,F/T,X,S/B 33rd St,,
33 Street,6,Manhattan,R232A,X,X,S/B 32nd St,,
34 Street - Herald Square,BDFVNQRW,Manhattan,A022,K,X,Mez 34th St E,,
34 Street - Herald Square,BDFVNQRW,Manhattan,A025,K,X,Mez 32nd St,,
34 Street - Herald Square,BDFVNQRW,Manhattan,N505,K,X,Mez 35th St,,
34 Street - Herald Square,BDFVNQRW,Manhattan,N506,F/T,F/T,Mez 34th St W,,
