Source,Ref,Station,Date,Booth,Description,Section,Access,Exits
East Midtown Rezoning,Fig. 12-45,Grand Central-42nd Street,2013,R233,Mezz Madison Av W,"Mezzanine ""E""",2 HEET; 1 HXT,
East Midtown Rezoning,Fig. 12-45,Grand Central-42nd Street,2013,R236,Mezz Vanderbilt Av,"Mezzanine ""C""",12 TS; 1 HXT,E 42nd St b/w Madison & Park
East Midtown Rezoning,Fig. 12-45,Grand Central-42nd Street,2013,R238,Mezz Park Av NE,"Mezzanine ""B""",15 TS,Grand Central Terminal
East Midtown Rezoning,Fig. 12-45,Grand Central-42nd Street,2013,R238A,Mezz Park Av NW,"Mezzanine ""B""",2 HEET,unpaid shuttle passageway
East Midtown Rezoning,Fig. 12-45,Grand Central-42nd Street,2013,R237,Mezz Park Av SW,"Mezzanine ""B""",7 TS,east side of Park Ave south of E 42nd St; Bowery Savings Bank
East Midtown Rezoning,Fig. 12-45,Grand Central-42nd Street,2013,R237A,Mezz Park Av SE,"Mezzanine ""B""",1 HXT,Bowery Savings Bank
East Midtown Rezoning,Fig. 12-45,Grand Central-42nd Street,2013,R237B,Mezz Lexington Av S,"Mezzanine ""B""",4 TS,Channin Building
East Midtown Rezoning,Fig. 12-45,Grand Central-42nd Street,2013,R240,Mezz Lexington Av N,"Mezzanine ""A""",11 TS,Grand Central Terminal; Chrysler Building; Lex north of E 42nd St
East Midtown Rezoning,Fig. 12-46,Grand Central-42nd Street,2013,R241A,Mezz 3 Av,,4 TS,
East Midtown Rezoning,Fig. 12-47,42nd Street-Bryant Park/Fifth Avenue,2013,N502,Mezz 42 St N,,5 TS; 1 HEET; 2 HXT,
East Midtown Rezoning,Fig. 12-47,42nd Street-Bryant Park/Fifth Avenue,2013,N503,Mezz 42 St S,,6 TS,
East Midtown Rezoning,Fig. 12-47,42nd Street-Bryant Park/Fifth Avenue,2013,N504,Mezz 40 St,,6 TS; 3 HEET,
East Midtown Rezoning,Fig. 12-47,42nd Street-Bryant Park/Fifth Avenue,2013,R500,Mezz 6th Ave,,2 HEET; 1 HXT,
East Midtown Rezoning,Fig. 12-47,42nd Street-Bryant Park/Fifth Avenue,2013,R501,Mezz 5th Ave,,8 TS,
East Midtown Rezoning,Fig. 12-48,47th-50th Streets-Rockefeller Center,2013,N500,Mezz 49 St,,,
East Midtown Rezoning,Fig. 12-48,47th-50th Streets-Rockefeller Center,2013,N500A,Mezz 48-49 Sts,,,
East Midtown Rezoning,Fig. 12-48,47th-50th Streets-Rockefeller Center,2013,N501A,Mezz 48 St,,,
East Midtown Rezoning,Fig. 12-48,47th-50th Streets-Rockefeller Center,2013,N501,Mezz 47 St,,8 TS; 2 HEET; 2 HXT,
East Midtown Rezoning,Fig. 12-49,51st Street/Lexington Avenue-53rd Street,2013,R242,S/B 51 St,,9 TS,
East Midtown Rezoning,Fig. 12-49,51st Street/Lexington Avenue-53rd Street,2013,R242A,S/B 50 St,,5 TS,
East Midtown Rezoning,Fig. 12-49,51st Street/Lexington Avenue-53rd Street,2013,R243,N/B 51 St,,9 TS,
East Midtown Rezoning,Fig. 12-49,51st Street/Lexington Avenue-53rd Street,2013,N305,Mezz Lexington Av,,11 TS,
East Midtown Rezoning,Fig. 12-49,51st Street/Lexington Avenue-53rd Street,2013,N305A,Mezz 52 St/Lex,,,
East Midtown Rezoning,Fig. 12-49,51st Street/Lexington Avenue-53rd Street,2013,N306,Mezz 3rd Av E,,8 TS,
East Midtown Rezoning,Fig. 12-49,51st Street/Lexington Avenue-53rd Street,2013,N306A,Mezz 3rd Av W,,2 HEET,
Silvercup West,Fig. 10-2,Queensboro Plaza,5/24/06,R509,Mezz 27th St,,,
Silvercup West,Fig. 10-3,21st Street Queensbridge,5/24/06,N603,Mezz 21st St,,,
Silvercup West,Fig. 10-4,23rd Street-Ely Avenue,5/24/06,N307,Mezz 21st St,,,
GO Broome,Table 9-16,Delancey / Essex,1/10/20,N526,Mezz Del/Ess S,Stairs,5 TS; 2 HEET,
GO Broome,Table 9-16,Delancey / Essex,1/10/20,N526A,Mezz Del/Ess SE,Exit-only Escalator,1 HXT,
Starrett-Lehigh and Terminal Warehouse,Table 4-19,23 Street,6/21/21,N074,N/B 25th St,,2 HEET; 1 HXT,
Starrett-Lehigh and Terminal Warehouse,Table 4-19,23 Street,6/21/21,N075,S/B 25th St,,2 HEET; 2 HXT,
Greater Midtown East Rezoning,Fig. 12-22,Grand Central 42nd Street,5/26/17,R233,Mezz Madison Av W,"Mezzanine ""E""",2 HEET; 1 HXT,
Greater Midtown East Rezoning,Fig. 12-22,Grand Central 42nd Street,5/26/17,R236,Mezz Vanderbilt Av,"Mezzanine ""C""",12 TS; 1 HXT,
Greater Midtown East Rezoning,Fig. 12-22,Grand Central 42nd Street,5/26/17,R238,Mezz Park Av NE,"Mezzanine ""B""",11 TS,
