Station ID,Division,Line,Station,Boro,Booth,End,Direction,Location,Comment
13,BMT,BWY,28th St,M,A026,,N/B,29 St,"both platforms have closed control areas at 29 St, 2 street stairs closed per control area"
13,BMT,BWY,28th St,M,A028,,S/B,29 St,"both platforms have closed control areas at 29 St, 2 street stairs closed per control area"
20,BMT,BWY,City Hall,M,,,Mez,,abandoned passageway and easement entrance through Woolworth Bldg
33,BMT,4AV,45th St,BK,----,,S/B,46 St,"auxiliary s/b plat plat stair, control area and street stair south of 46 St closed; s/b plat has only 1 plat stair"
41,BMT,BRT,7th Av,BK,B005,South,,,"southern B5, platform stairs and street stairs closed"
44,BMT,BRT,Church Av,BK,----,,,,Old exit house at SB Plat
52,BMT,BRT,Av U,BK,----,South,,,"southern auxiliary stair off S/B plat closed, emergency exit only"
64,BMT,WST,71st St,BK,,North,,,not included:  interior of northern auxiliary mezzanien closed off
65,BMT,WST,79th St,BK,,North,,,not included:  interior of northern auxiliary mezzanien closed off
71,BMT,SEA,8th Av,BK,D001,,Mez,7 Ave,7 Ave control house and plat stairs closed; s/b plat has only 1 platform stair
80,BMT,BWJ,121st St,Q,J038,East,Mez,123 St,eastern 123 St mezz interior closed and its n/b plat stair exit-only
81,BMT,BWJ,111th St,Q,J036,East,Mez,113 St,"eastern 113 St mezzanine, platform stairs closed; street stair removed"
86,BMT,BWJ,Cypress Hills,BK,J026,East,Mez,Autumn Ave,"eastern Autumn Ave auxiliary mezz exit-only off n/b plat and closed to s/b plat, street stair removed"
92,BMT,BWJ,Broadway Junction,BK,J019,West,Mez,Somers St,western mezzanine off Summer St closed and street stairs removed
93,BMT,BWJ,Chauncey St,BK,J018,East,Mez,Chauncey St,eastern J018 mezz off Chauncey St closed; 1 platform stair per platform
94,BMT,BWJ,Halsey St,BK,J015,West,Mez,Hancock St,western J015 mezz off Hancock St closed; 1 platform stair per platform
95,BMT,BWJ,Gates Av,BK,J014,East,Mez,Gates Ave,eastern J014 mezz off Gates Ave closed; 1 platform stair per platform
96,BMT,BWJ,Kosciusko St,BK,J011,West,Mez,DeKalb Ave,western J011 mezz off Dekalb Ave closed; 1 platform stair per platform
98,BMT,BWJ,Flushing Av,BK,J008,East,Mez,Fayette St,eastern J008 mezz off Fayette St closed; 1 platform stair per platform
100,BMT,BWJ,Hewes St,BK,J004,East,Mez,Hewes St,eastern mezz J004 off Hewes St closed; 1 platform stair per platform
102,BMT,NAS,Essex St,M,,,N/B,Delancey St,entrances off of both platforms are closed (n/s and s/s of Delancey St)
102,BMT,NAS,Essex St,M,,,S/B,Delancey St,entrances off of both platforms are closed (n/s and s/s of Delancey St)
103,BMT,NAS,Bowery,M,A065,West,Mez,,western mezz A65 closed;  all VCEs share common landing in mezzanine; not included:  closed platform
104,BMT,NAS,Canal St,M,,North,Mez,Canal St,mezz on north side of Canal St closed
104,BMT,NAS,Canal St,M,,,,,abandonded platform and mezz to abandoned plat on SE side of Center and Canal
106,BMT,NAS,Fulton St,M,,,N/B,John St,lower n/b plat: closed control areas at John and Ann Sts
106,BMT,NAS,Fulton St,M,,,N/B,Ann St,lower n/b plat: closed control areas at John and Ann Sts
106,BMT,NAS,Fulton St,M,,,S/B,Beekman St,upper s/b plat - closed control area at Beekman St
110,BMT,MRT,Forest Av,Q,K023,West,Mez,Madison St,western Madison St mezz removed; 1 platform stair
134,BMT,CNR,Sutter Av,BK,,,,,"1 Plat Stair/Platform, 1 Street stair, control area mezz possibly removed entirely"
140,,FRK,Dean St,BK,,,,,Station Demolished
148,IND,8AV,168th St - Washington Heights,M,N013A,South,Mez,,"2 exit-only control areas closed at south end of mezz; 4 closed street stairs at south end, 1 closed stair at N013A, Closed CA N013A"
148,IND,8AV,168th St - Washington Heights,M,N012,South,Mez,,"2 exit-only control areas closed at south end of mezz; 4 closed street stairs at south end, 1 closed stair at N013A, Closed CA N013A"
149,IND,8AV,163rd St - Amsterdam Av,M,N015,,,,Closed CA N015
150,IND,8AV,155th St,M,N018,,,,Closed CA converted to Employee Space
151,IND,8AV,145th St,M,----,,,,Closed Street Stair for Police Access Only 
153,IND,8AV,125th St,M,----,,,,2 closed street stairs per closed CA
153,IND,8AV,125th St,M,----,,,,2 closed street stairs per closed CA
154,IND,8AV,116th St,M,N027,,,,"Closed CA N028,N027"
154,IND,8AV,116th St,M,N028,,,,"Closed CA N028,N027"
155,IND,8AV,Cathedral Parkway-110th St,M,N031,North,N/B,111 St,"Closed CA N032,N033,N031; underpass between platforms closed"
155,IND,8AV,Cathedral Parkway-110th St,M,N032,,,,"Closed CA N032,N033,N031; underpass between platforms closed"
155,IND,8AV,Cathedral Parkway-110th St,M,N033,,,,"Closed CA N032,N033,N031; underpass between platforms closed"
156,IND,8AV,103rd St,M,N036,,Mez,,"Closed CA N038,N036, 2 closed street stairs per CA"
