C/A,UNIT,STATION,LINENAME,DIVISION
A002,R051,59 ST,NQR456W,BMT
A006,R079,5 AV/59 ST,NQRW,BMT
A007,R079,5 AV/59 ST,NQRW,BMT
A010,R080,57 ST-7 AV,NQRW,BMT
A011,R080,57 ST-7 AV,NQRW,BMT
A013,R081,49 ST,NQRW,BMT
A014,R081,49 ST,NQRW,BMT
A015,R081,49 ST,NQRW,BMT
A016,R081,49 ST,NQRW,BMT
A021,R032,TIMES SQ-42 ST,ACENQRS1237W,BMT
A022,R022,34 ST-HERALD SQ,BDFMNQRW,BMT
A025,R023,34 ST-HERALD SQ,BDFMNQRW,BMT
A027,R082,28 ST,NRW,BMT
A029,R082,28 ST,NRW,BMT
A030,R083,23 ST,NRW,BMT
A031,R083,23 ST,NRW,BMT
A033,R170,14 ST-UNION SQ,LNQR456W,BMT
A034,R170,14 ST-UNION SQ,LNQR456W,BMT
A035,R170,14 ST-UNION SQ,LNQR456W,BMT
A037,R170,14 ST-UNION SQ,LNQR456W,BMT
A038,R085,8 ST-NYU,NRW,BMT
A039,R085,8 ST-NYU,NRW,BMT
A041,R086,PRINCE ST,NRW,BMT
A042,R086,PRINCE ST,NRW,BMT
A043,R462,CANAL ST,JNQRZ6W,BMT
A046,R463,CANAL ST,JNQRZ6W,BMT
A047,R087,CITY HALL,NRW,BMT
A049,R088,CORTLANDT ST,RNW,BMT
A050,R088,CORTLANDT ST,RNW,BMT
A052,R088,CORTLANDT ST,RNW,BMT
A053,R088,CORTLANDT ST,RNW,BMT
A054,R227,RECTOR ST,NRW,BMT
A055,R227,RECTOR ST,NRW,BMT
A058,R001,WHITEHALL S-FRY,R1W,BMT
A060,R001,WHITEHALL S-FRY,R1W,BMT
A061,R142,DELANCEY/ESSEX,FJMZ,BMT
A064,R311,BOWERY,JZ,BMT
A066,R118,CANAL ST,JNQRZ6W,BMT
A069,R044,CHAMBERS ST,JZ456,BMT
A071,R044,CHAMBERS ST,JZ456,BMT
A077,R028,FULTON ST,ACJZ2345,BMT
A081,R028,FULTON ST,ACJZ2345,BMT
A082,R028,FULTON ST,ACJZ2345,BMT
A083,R125,BROAD ST,JZ,BMT
A084,R125,BROAD ST,JZ,BMT
A085,R125,BROAD ST,JZ,BMT
B004,R171,7 AV,BQ,BMT
B009,R411,PARK PLACE,S,BMT
B010,R412,BOTANIC GARDEN,S2345,BMT
B012,R196,PROSPECT PARK,BQS,BMT
B013,R196,PROSPECT PARK,BQS,BMT
B014,R148,PARKSIDE AV,BQ,BMT
B015,R098,CHURCH AV,BQ,BMT
B016,R098,CHURCH AV,BQ,BMT
B017,R262,BEVERLEY ROAD,BQ,BMT
B018,R184,CORTELYOU RD,BQ,BMT
B019,R149,NEWKIRK PLAZA,BQ,BMT
B020,R263,AVENUE H,BQ,BMT
B021,R228,AVENUE J,BQ,BMT
B022,R229,AVENUE M,BQ,BMT
B023,R211,KINGS HWY,BQ,BMT
B024,R211,KINGS HWY,BQ,BMT
B024A,R211,KINGS HWY,BQ,BMT
B025,R150,AVENUE U,BQ,BMT
B026,R230,NECK RD,BQ,BMT
B027,R136,SHEEPSHEAD BAY,BQ,BMT
B028,R136,SHEEPSHEAD BAY,BQ,BMT
B029,R172,BRIGHTON BEACH,BQ,BMT
B031,R172,BRIGHTON BEACH,BQ,BMT
B032,R264,OCEAN PKWY,Q,BMT
B034,R264,OCEAN PKWY,Q,BMT
C001,R108,BOROUGH HALL,R2345,BMT
C003,R089,JAY ST-METROTEC,R,BMT
C004,R089,JAY ST-METROTEC,R,BMT
C008,R099,DEKALB AV,BDNQR,BMT
C009,R057,ATL AV-BARCLAY,BDNQR2345,BMT
C010,R231,UNION ST,R,BMT
C011,R231,UNION ST,R,BMT
C012,R258,4AV-9 ST,DFGMNR,BMT
C014,R246,PROSPECT AV,R,BMT
C015,R246,PROSPECT AV,R,BMT
C016,R278,25 ST,R,BMT
C017,R455,25 ST,R,BMT
C018,R197,36 ST,DNR,BMT
C019,R232,45 ST,R,BMT
C020,R233,53 ST,R,BMT
C021,R212,59 ST,NRW,BMT
C022,R212,59 ST,NRW,BMT
C023,R213,BAY RIDGE AV,R,BMT
